Database,MDBDir,Path,TableName,FileType,PartitionKey,PartitionValue,SourceURI,DownloadPolicy,ExpectedSHA256,ArchiveType,ArchiveMember,Delimiter,ReaderOptions,SourceProvider,SourceRelease,SourceLicense,CitationURL,SourceNotes,AccessMode,AccessRequirements,ApproxRows,ApproxColumns,DatasetName,SourceComponent,Group,Large
NHANES,remote/nhanes/dietary,DSQ2_C.xpt,DSQ2,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DSQ2_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,FFQDC_C.xpt,FFQDC,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/FFQDC_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Output from DietCalc Software. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,FFQRAW_C.xpt,FFQRAW,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/FFQRAW_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Raw Questionnaire Responses. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,FOODLK_C.xpt,FOODLK,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/FOODLK_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Look-Up Table FOODLOOK. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,VARLK_C.xpt,VARLK,xpt,survey_cycle,2003-2004,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/VARLK_C.xpt,if_missing,,,,,,CDC/NCHS,2003-2004,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Look-Up Table VARLOOK. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR1IFF_D.xpt,DR1IFF,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DR1IFF_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Individual Foods, First Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR1TOT_D.xpt,DR1TOT,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DR1TOT_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Total Nutrient Intakes, First Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR2IFF_D.xpt,DR2IFF,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DR2IFF_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Individual Foods, Second Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR2TOT_D.xpt,DR2TOT,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DR2TOT_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Total Nutrient Intakes, Second Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXFCD_D.xpt,DRXFCD,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DRXFCD_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview Technical Support File - Food Codes. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXMCD_D.xpt,DRXMCD,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DRXMCD_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview Technical Support File - Modification Codes. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSQ1_D.xpt,DSQ1,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DSQ1_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSQ2_D.xpt,DSQ2,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DSQ2_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,FFQDC_D.xpt,FFQDC,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/FFQDC_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Output from DietCalc Software. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,FFQRAW_D.xpt,FFQRAW,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/FFQRAW_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Raw Questionnaire Responses. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,FOODLK_D.xpt,FOODLK,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/FOODLK_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Look-Up Table FOODLOOK. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,VARLK_D.xpt,VARLK,xpt,survey_cycle,2005-2006,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VARLK_D.xpt,if_missing,,,,,,CDC/NCHS,2005-2006,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Food Frequency Questionnaire - Look-Up Table VARLOOK. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DR1IFF_E.xpt,DR1IFF,xpt,survey_cycle,2007-2008,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DR1IFF_E.xpt,if_missing,,,,,,CDC/NCHS,2007-2008,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Interview - Individual Foods, First Day. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
